id,price,sale_yr,sale_month,sale_day,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
5615100330,200000,2015,3,27,4,2.000000,1900,8160,1,0,0,3,7,1900,0,1975,0,98022,47.211400,-121.986000,1280,6532
8835900086,350000,2014,9,2,4,3.000000,3380,16133,1,0,1,3,8,2330,1050,1959,0,98118,47.550100,-122.261000,2500,11100
9510900270,254000,2014,12,11,3,2.000000,2070,9000,1,0,0,4,7,1450,620,1969,0,98023,47.308500,-122.376000,1630,7885
2621600015,175000,2015,4,30,3,1.000000,1150,8924,1,0,0,3,6,1150,0,1943,0,98030,47.386500,-122.217000,1492,8924
8078350090,619000,2015,3,31,3,2.500000,2040,7503,2,0,0,3,8,2040,0,1987,0,98029,47.571800,-122.021000,2170,7503
1061400180,240000,2015,1,6,3,1.000000,1550,12670,1,0,0,4,7,1550,0,1962,0,98056,47.502400,-122.169000,1550,8880
7697870600,158000,2014,9,9,3,2.500000,1520,7200,2,0,0,4,7,1520,0,1985,0,98030,47.367900,-122.182000,1780,7210
7812800995,200000,2014,9,5,2,1.000000,790,5985,1,0,0,3,6,790,0,1944,0,98178,47.494100,-122.240000,1030,5985
2953000250,275000,2014,7,31,3,1.500000,1900,9737,1,0,0,4,7,1200,700,1968,0,98031,47.412500,-122.207000,1670,9737
5561400740,593500,2015,2,10,5,3.250000,4300,50405,2,0,0,3,8,3220,1080,1972,0,98027,47.461500,-122.000000,2680,41684
7237300090,335000,2015,4,2,5,2.500000,2400,4548,2,0,0,3,7,2400,0,2003,0,98042,47.371000,-122.127000,2200,4465
1565900390,272000,2015,4,15,4,2.250000,1800,9018,2,0,0,3,7,1800,0,1992,0,98022,47.212600,-121.984000,1670,9380
6840700165,202000,2014,7,1,1,1.000000,590,833,1,0,0,4,7,590,0,1926,0,98122,47.608200,-122.299000,780,1617
2320069206,219000,2015,3,25,3,1.000000,1250,8276,1,0,0,5,6,1250,0,1939,0,98022,47.209200,-121.997000,1250,8792
2868900160,222500,2014,10,2,3,1.000000,990,10125,1,0,0,3,7,990,0,1972,0,98042,47.342200,-122.089000,1360,10125
